Company,Brief Description,Detailed Description,Founded Year,HQ Address,Email ID,Contact Detail,website address,LinkedIn Page Link,Twitter Page Link,Total Number of Investments,Preferred Sectors,Average Cheque Size,Average Round Size,Lead or Co-Investor Preference,Most Recent Investment,Guidance for Founders,Evaluation Criteria,PNG Address of the logo,Guidance for Founders
SHERPALO VENTURES,"Sherpalo Ventures is a US-based venture capital firm with a strong focus on Indian startups, founded by Ram Shriram, an early Google investor.","Sherpalo Ventures, founded by Ram Shriram (one of Google's first investors), has maintained a significant focus on the Indian startup ecosystem. The firm has historically invested in consumer internet, mobile technology, and enterprise software companies in India. While Sherpalo has generally slowed new investments in recent years, its portfolio includes several notable Indian success stories. The firm provides hands-on mentorship and strategic guidance along with capital investment.",2000,No India Office ,info@sherpalo.com,NA,https://www.sherpalo.com,NA,NA,31,"Consumer Internet, Mobile Technology, Enterprise Software, E-commerce, Digital Media",$1 million - $5 million,$2 million - $10 million,Typically co-investor in Series A and B rounds,Follow-on investment in logistics platform Shiprocket in July 2024 (part of $50 million round),Email submissions accepted with executive summary and pitch deck. The firm emphasizes the importance of showing traction and a clear competitive advantage.,,,
SHUNWEI CAPITAL,"Shunwei Capital is a venture capital firm founded by Lei Jun (founder of Xiaomi) and Tuck Lye Koh, focusing on early to mid-stage investments in internet and technology companies.","Shunwei Capital is a leading China-based venture capital fund with significant activity in India. Founded by Xiaomi's Lei Jun, the firm has invested heavily in Indian startups since 2018. They focus on consumer internet, social media, content platforms, and fintech ventures. While Shunwei was quite active in India from 2018-2020, their investment pace slowed after geopolitical tensions between India and China emerged. Their portfolio includes several prominent Indian startups including ShareChat, KhataBook, and Pratilipi.",2011,"WeWork Galaxy, 43 Residency Road, Bangalore, Karnataka 560025, India",info@shunwei.com,Contact form available on their website,https://www.shunwei.com,https://www.linkedin.com/company/shunwei-capital/,Not available,"300+ investments globally, 25+ in India","Consumer Internet, Social Media, Content Platforms, Fintech, and IoT",$3-10 million,$5-20 million,"Mix of lead and co-investments, with preference for strategic co-investing with local partners",Participated in a funding round for Koo (Indian social media platform) in early 2024,No formal application process. Warm introductions through their network are preferred.,,,
SHURU-UP,"Shuru-Up is an early-stage investment platform focused on supporting innovative startups across India with capital, mentorship, and networking opportunities.","Shuru-Up operates as both an investment platform and accelerator for early-stage startups in India. The firm emphasizes founder-centric investments, providing not just capital but comprehensive support through mentorship programs, strategic partnerships, and business development assistance. Their focus is on technology-enabled businesses with strong founding teams and scalable business models.",2020,"C-501, The First,
Behind ITC Narmada,
Vastrapur, Ahmedabad,
Gujarat - 380015",info@shuruup.com,"+91 7069255545
+91 7573011184",https://www.shuruup.com,https://www.linkedin.com/company/shuru-up,https://twitter.com/ShuruUp?t=YvJXh_29GUqUxaRhKgq2Gg&s=08,12,"D2C Brands, AgriTech, FinTech, Mobility, CleanTech (Sector Agnostic)","$100,000 - $500,000","$500,000 - $2 million","Typically co-investor, occasionally leads seed rounds","AgroFarm (Agricultural supply chain platform), January 2024, Amount: $400,000",Founders can apply through the online application form on their website. They recommend reaching out with a concise pitch deck and demonstration of initial market validation. Response time is typically 2-3 weeks.,,,
SIANA CAPITAL MANAGEMENT,"Siana Capital is a venture capital firm focused on investing in early to growth stage deep tech startups in India, with particular emphasis on AI, ML, and other emerging technologies.","Siana Capital Management is a venture capital firm that specializes in investing in deep technology startups at early to growth stages. The firm has a particular focus on companies leveraging AI, ML, IoT, and other advanced technologies to solve complex problems. Siana Capital was founded by experienced investment professionals with backgrounds in technology and venture capital. The fund aims to bridge the gap between scientific innovations and commercial applications, supporting technologies that have the potential for significant real-world impact. Siana typically invests in B2B and B2B2C startups with strong intellectual property and differentiated technology solutions. The firm provides not just capital but also strategic support, helping portfolio companies with business development, subsequent fundraising, and talent acquisition.",2018,"Siana Capital Management LLP, 10 South End Street, Kumara Park East, Bangalore 560001 INDIA",info@sianacapital.com,NA,https://www.sianacapital.com/,https://www.linkedin.com/company/siana-capital/,NA,10+,AgriTech/ Biotech/ BioSciences/ CleanTech/EnterpriseTech/FinTech/Healthcare/SaaS/Virtual Reality,"$500,000 - $2 million",$1 million - $5 million,"Both lead and co-investments, often collaborating with other deep tech investors","Feb 10, 2025 | The Energy Company | India | Stage -Seed | Amount invested - $2M","Siana Capital accepts pitch submissions through their website. They look for deep tech startups with strong technical founding teams and innovative solutions. Founders should highlight their technology differentiation, IP assets, and commercial applications of their technology.",,,
SILVERNEEDLE VENTURES (SNV),"SilverNeedle Ventures is an early-stage venture capital firm focused on investing in tech startups across SaaS, AI, ML, DeepTech, and Consumer sectors in India.","SilverNeedle Ventures (SNV) is an early-stage venture capital firm that specializes in backing innovative technology startups in India. Founded by Ajay Jain, the firm focuses on pre-seed to pre-Series A investments in companies leveraging technology to solve meaningful problems. SNV provides not just capital but also strategic guidance, mentorship, and access to networks to help startups scale. The firm particularly focuses on sectors including SaaS, AI/ML applications, DeepTech innovations, and Consumer Technology.",2021,"T-Hub 2.0 | 20, Inorbit Mall Rd, Vittal Rao Nagar, Madhapur, Telangana 500081",info@silverneedle.vc,NA,https://www.silverneedle.vc,https://www.linkedin.com/company/silverneedle-ventures,https://twitter.com/SilverNeedleVC,15 + investment,"Silverneedles Ventures is a sector-agnostic fund but specially focused on startups in space of deep technology, sustainability & emerging technologies","$250,000 - $2 Million","$500,000 - $7 million",Both lead and co-investment roles,"Jan 08, 2025
BrainSightAI
India
Seed
$5M
","Founders can reach out directly via email at hello@silverneedle.vc. The firm encourages startups to provide a clear problem statement, solution approach, market size, and team background in their pitch.",,,
SIMILE VENTURE PARTNERS,"Simile Venture Partners is a venture capital firm focused on early-stage technology investments across emerging markets, with a growing focus on India.","Simile Venture Partners is a venture capital firm that invests in early-stage technology startups in emerging markets, including India, Southeast Asia, Eastern Europe, and the Middle East. Founded by experienced investors with backgrounds in global technology companies, Simile focuses on companies that leverage technology to solve significant challenges in large markets. The firm has a particular interest in startups operating at the intersection of software and traditional industries, creating innovative solutions for sectors undergoing digital transformation. In India, Simile has been increasingly active, targeting investments in enterprise software, fintech, healthcare technology, and mobility solutions. The firm typically invests at Seed and Series A stages and provides portfolio companies with strategic guidance, operational support, and access to their global network.",2012,HQ -  Luxembourg,info@simileventure.com,NA,https://www.simileventures.com/,https://www.linkedin.com/company/simile-venture-partners/,NA,22,"consumer internet, digital media, mobile and B2B2C space","$500,000 - $2 million",$1-5 million,"Both, generally co-investor in larger markets like India","Sep 12, 2024 | Futwork | India | Stage -Series A | Amount invested - $2.5M","Founders can submit their pitch through the ""Contact Us"" section on their website. Simile values strong technical teams and products that demonstrate clear market differentiation.",,,
SINGAPORE ANGEL NETWORK,Singapore Angel Network (SGAN) is an angel investment network focused on early-stage startups in Southeast Asia and India.,"Singapore Angel Network comprises experienced investors and entrepreneurs primarily investing in seed and early-stage startups. With a strong focus on India, SGAN leverages its network across Singapore and India to provide portfolio companies with strategic connections, mentorship, and growth opportunities beyond funding. The network emphasizes startups that demonstrate innovative solutions to real-world problems with clear commercialization potential.",2011,"152, Hauz Khas Village, New Delhi - 110016, India (India office)",info@sgan.sg,+91-11-4104 8365,https://www.sgan.sg/,https://sg.linkedin.com/company/singapore-angel-network-sgan-pte-ltd,https://twitter.com/SgAngelNetwork,45+ investments,"Deeptech, SaaS, Fintech, E-commerce, Consumer tech, Healthtech","$100,000 - $500,000","$500,000 - $2 million","Primarily co-investor, occasionally leads seed rounds",Kiwi Box (2024),"SGAN encourages startups to apply through their online application process. They recommend a concise pitch highlighting the problem, solution, market size, and team credentials. They typically respond within 3-4 weeks to shortlisted applicants.",,,
SINGULARITY GROWTH OPPORTUNITIES FUND,Singularity Growth Opportunities Fund is an India-focused venture capital firm that invests in early to growth-stage technology companies.,"Singularity Growth Opportunities Fund is a venture capital fund that focuses on investing in technology-enabled businesses across various sectors in India. The fund takes a thesis-driven approach to investing, identifying emerging trends and backing companies that are positioned to capitalize on these trends. Singularity Growth seeks to partner with founders building businesses with sustainable competitive advantages and strong growth potential. The fund is managed by a team with extensive operational experience and a deep understanding of the Indian startup ecosystem.",2020,"503, 5th Floor, B Wing, Eureka Towers, Mindspace, Malad West, Mumbai, Maharashtra 400064, India",info@singularitygrowth.com,-14607,https://www.singularitygrowth.com,https://www.linkedin.com/company/singularityllabs/,https://twitter.com/SingularityGrow,61,"FinTech, HealthTech, ConsumerTech, B2B SaaS, and Logistics",$5M-$10M,$10M-$20M,Lead investor (prefers to lead Series A and B rounds),"Mar 13, 2025 | Purple Style Labs | India | Stage -Series E | Amount invested - $40M","Founders can submit their pitch through the firm's website under the ""Submit Your Pitch"" section. The firm recommends including a detailed business plan, market analysis, and three-year financial projections. Response time is typically 4-6 weeks.",,,
SINGULARITY VENTURES,Singularity Ventures is an early-stage venture capital firm focusing on technology startups in India and Southeast Asia.,"Singularity Ventures invests in startups leveraging emerging technologies to solve significant problems. The firm takes a thesis-driven approach, identifying key technology trends and backing entrepreneurs who are building innovative solutions in these areas. They provide hands-on support to portfolio companies through their network of technology experts and industry connections.",2016,"Indiranagar, Bengaluru, Karnataka 560038, India",info@singularityventures.in,Contact form available on website,https://www.singularityventures.in,https://www.linkedin.com/company/singularity-venture-partners,https://twitter.com/singularityvc_in,13,"AI/ML, Deep Tech, Enterprise SaaS, Healthtech, Climate Tech","$500,000 - $2 million (USD)",$1-5 million (USD),Both lead and co-investor roles,"Feb 13, 2024 | Supertails | India | Stage -Series B | Amount invested - $15.2M",Founders can apply through the website submission form. The firm prefers startups with technical founders and innovative technology approaches to solving large market problems.,,,
SIRIUSONE CAPITAL,SiriusOne Capital is a venture capital firm focused on early-stage investments in technology startups across India and Southeast Asia.,"SiriusOne Capital is a venture capital firm that invests in early-stage technology startups across India and Southeast Asia. Founded by experienced entrepreneurs and investors, the firm takes a founder-first approach to investing, with a strong emphasis on partnering with visionary entrepreneurs building innovative solutions. SiriusOne Capital primarily focuses on seed to Series A investments and supports portfolio companies beyond capital through strategic guidance, operational expertise, and access to their extensive network of industry connections. The firm is particularly interested in disruptive technologies that have the potential to transform traditional industries.",a2020,"T Nagar, Chennai, Tamil Nadu 600017, IN",hello@siriusone.vc,NA,https://siriusone.vc/,https://www.linkedin.com/company/siriusone/,NA,50+,"Fintech, SaaS, Enterprise Technology, Healthtech, Consumer Internet","$250,000 - $1.5 million",$1-3 million,"Both lead and co-investor, with increasing preference for leading rounds","Sep 30, 2024 | Thermoflyde Industries | India | Stage -Series A | Amount invested - $1.91M","Founders can reach out via email or through the contact form on the website. SiriusOne recommends including a concise pitch deck with clear information about the problem being solved, market size, solution differentiation, and founding team background.",,,
"SIXTH SENSE VENTURES, MUMBAI","Sixth Sense Ventures is one of India's first domestic, consumer-focused venture capital funds, investing in consumer businesses leveraging the ""consumer first"" philosophy.","Sixth Sense Ventures focuses on disruption and scalability in the consumer space. The firm invests in consumer-centric startups with a first-principles approach to consumption, betting on founders building businesses that challenge conventional wisdom. The fund has a strong belief in the consumption-driven growth story of India and backs founders early in their journey with a long-term investment horizon.",2014,"Sixth Sense Ventures,
INS Towers, A 1102-1103, Opp. Trident, BKC, Mumbai – 400051",NA,+91 22-4017-6000,https://www.sixthsenseventures.com,https://in.linkedin.com/company/sixth-sense-ventures-llp,https://www.linkedin.com/company/sixth-sense-ventures-llp/,50+ investments,"Consumer Brands, FMCG, Retail, Healthcare, Education, Logistics, Financial Services focused on consumption",$3-8 million,$5-15 million,Primarily leads investment rounds,"Nov 27, 2024
Candytoy
India
Series A
$13M
","Founders can reach out through their website's contact form. The firm looks for businesses addressing large, unorganized markets with potential for rapid growth and scalability.",,,
SMBC ASIA RISING FUND,SMBC Asia Rising Fund is an investment arm of Sumitomo Mitsui Banking Corporation focusing on growth-stage investments across Asia with a significant focus on Indian companies.,"SMBC Asia Rising Fund operates as the venture capital and growth investment arm of Sumitomo Mitsui Banking Corporation (SMBC), one of Japan's largest banking institutions. The fund focuses on growth-stage investments across Asia with a particular emphasis on Indian companies. SMBC Asia Rising Fund targets technology-enabled businesses that demonstrate strong growth potential and operate in sectors experiencing digital transformation. The fund leverages SMBC's extensive financial services expertise and pan-Asian network to provide portfolio companies with strategic value beyond capital.",2018,"17th Floor, Express Towers, Nariman Point, Mumbai - 400021, Maharashtra, India",indiaventures@smbc.co.jp,+91 22 6154 5500,https://www.smbcgroup.com/asia-rising-fund,https://sg.linkedin.com/company/smbc-asia-rising-fund,https://twitter.com/SMBC_Group,"SMBC Asia Rising Fund has a diverse portfolio, with companies operating in the FinTech, Enterprise Applications, Financial Services, Consumer and Real Estate and Construction Tech. Notably, it has invested in 5 Tech companies, 4 Enterprise (B2B) companies, 2 Software companies and at least 1 company focusing on Consumer (B2C).","FinTech, Technology-enabled Financial Services, Enterprise SaaS, Digital Infrastructure, Supply Chain Technology",$5-20 million,$15-50 million,"Primarily co-investor, occasionally lead in financial services and enterprise technology","Nov 06, 2024 | EHFL | India | Stage -Series B | Amount invested - $35M",Founders should approach through introductions from the fund's network or other investors. The fund prefers companies with significant revenue traction and clear path to profitability.,,,
SMILE GROUP,Smile Group is an Indian internet conglomerate that functions as a venture builder and investor in consumer internet and e-commerce companies.,"Smile Group combines venture capital investment with hands-on entrepreneurial support. The group has built, invested in, and partnered with numerous internet businesses in India and Southeast Asia. Their approach involves not just providing capital but also operational expertise, shared resources, and strategic guidance. The group has helped launch and scale several successful consumer internet companies in the region.",1999,"C-97, Sector 65, Noida, Uttar Pradesh 201301, India",info@smilegroup.in,+91 120 4225500,https://www.smilegroup.in,https://www.linkedin.com/company/smile-group,https://twitter.com/smilegroup_in,30+ ventures built or invested in,"E-commerce, Consumer Internet, Digital Media, Marketplaces, D2C Brands",$1-5 million (USD),$2-10 million (USD),Primarily lead investor and venture builder,"Freadom (January 2024, participated in Series A round)",Smile Group prefers to work with entrepreneurs who have strong domain expertise and are building businesses in sectors where Smile has operational experience. Founders can reach out through their website contact form.,,,
SMK VENTURES,SMK Ventures is a seed-stage venture capital firm focusing on consumer brands and technology startups emerging from tier 2 and tier 3 cities in India.,"SMK Ventures was founded with a vision to support entrepreneurship beyond India's major metropolitan areas. The firm actively seeks out promising startups from smaller cities that address the unique needs of India's diverse consumer base. SMK brings not just capital but also mentorship on product development, branding, and market expansion strategies tailored to the Indian heartland. The firm has established entrepreneur communities in several tier 2 cities to nurture the startup ecosystem.",2018,"Hazratganj, Lucknow, Uttar Pradesh 226001, India",pitch@smkventures.in,#NAME?,www.smkventures.in,www.linkedin.com/company/smk-ventures,twitter.com/SMK_Ventures,19,"D2C Brands, Regional Content Platforms, Social Commerce, Vernacular Apps, Rural FinTech","$200,000 - $1 million","$500,000 - $2 million","Lead investor in early seed rounds, often co-investing at late seed stage","Nov 21, 2023 | HomeCapital | India | Stage -Series B | Amount invested - $10M",SMK Ventures has regional pitch events in various tier 2 cities throughout the year. They also accept applications through their website and have a fast-track process for startups from non-metro regions.,,,
"SNOW LEOPARD TECHNOLOGY VENTURES, PUNE","Snow Leopard Global Capital Management is a global alternative asset manager with offices in Pune, India, and New York, USA. The firm focuses on venture capital and public investment strategies, leveraging its founders' extensive experience and networks in both regions","Established by founders who have known each other for over thirty years since their upbringing in New York City, Snow Leopard Global Capital Management specializes in managing family office capital across a diverse range of private and public investments, including businesses, macro investments, land, and developments. The firm's deep immersion in both Indian and U.S. investment ecosystems grants them proprietary relationships, enabling access to unique founders, capital, and networks. Their venture capital arm invests in select, high-potential, high-growth technology-enabled businesses globally, while their public investment strategies cater to Indian family offices and institutional investors, offering a variety of U.S.-managed strategies ranging from debt-like volatility with equity-like returns to value-oriented and technology-focused equity approaches. ",2017,"Plot No. 445, Sindh Housing Society, Aundh, Pune, Maharashtra 411007, India",info@snowleopard.vc,Not publicly available,https://snowleopardglobal.com/,https://www.linkedin.com/company/snow-leopard-network/,https://x.com/snowleopardnet,17,"B2B SaaS, Enterprise Software, AI/ML, DeepTech, FinTech","$100,000 - $300,000","$500,000 - $1.5 million",Primarily co-investor,"May 03, 2024 | Artha Energy Resources | India | Stage -Series A | Amount invested - $10.1M",Founders can reach out through email or LinkedIn. They prefer startups that have built a minimum viable product and have some early customer validation.,,,
"SOCIAL ALPHA, BENGALURU","Social Alpha is a multistage innovation curation and venture development platform for science and technology startups addressing social, economic, and environmental challenges.","Social Alpha, an initiative supported by Tata Trusts, nurtures startups focused on solving India's development challenges through innovation and entrepreneurship. The platform provides comprehensive support including incubation, acceleration, seed funding, and market access to help startups scale their impact. Social Alpha works across multiple sectors with a focus on improving the quality of life for underserved communities.",2016,"14th Floor, Tower A, World Trade Center, Brigade Gateway Campus, Dr. Rajkumar Road, Malleswaram West, Bengaluru 560055, India",contact@socialalpha.org,-7166,https://www.socialalpha.org,https://www.linkedin.com/company/social-alpha,https://twitter.com/SocialAlphaIN,150+,"Healthcare, Clean Energy, Environment, Education, Financial Inclusion, Assistive Technology, AgriTech, Water & Sanitation",$50K - $300K,$100K - $500K,"Both lead and co-investor, with emphasis on catalyzing additional capital",CiscoUrja (Clean cooking energy solutions) - Q1 2024,Entrepreneurs can apply through various programs listed on the Social Alpha website. The organization runs multiple sector-specific incubation and acceleration programs throughout the year.,,,
SOCIAL CAPITAL,"Social Capital is a technology holding company founded by Chamath Palihapitiya that invests in businesses solving the world's hardest problems across healthcare, education, financial services, and frontier technologies.","Social Capital, founded by former Facebook executive Chamath Palihapitiya, is known for its data-driven investment approach and focus on solving complex global challenges. While headquartered in the US, the firm has shown increasing interest in Indian startups, particularly those leveraging technology to address fundamental needs in healthcare, education, and financial services. Social Capital has backed several Indian startups through both direct investments and SPACs (Special Purpose Acquisition Companies). Their investment philosophy centers on backing founders with ambitious visions to transform industries through technology and improve people's lives.",2011,"No dedicated India office, operates from US headquarters and through partners",info@socialcapital.com,Contact through website form,https://www.socialcapital.com,https://www.linkedin.com/company/social-capital-lp,https://twitter.com/socialcapital,"100+ investments globally, 5-8 in India","Healthcare, Education, Financial Services, Enterprise Software, and Climate Technology",$5-50 million,$10-100 million,Both leads and co-invests depending on strategic fit,Groww (Investment platform) - Participated in Series E funding in 2024,"Previously ran ""Capital as a Service"" automated seed program. Currently, founders are encouraged to reach out through their network or via LinkedIn to their investment team.",,,
"SOFINA, BRUSSELS","Sofina is a family-controlled investment company based in Brussels with significant investments in India, focusing on long-term partnerships with entrepreneurs and families.","Sofina is a Belgian investment company with a global investment approach that has been increasingly focusing on India as a key market. With a patient capital approach, Sofina invests with a long-term horizon across different growth stages. Their investment strategy in India concentrates on consumer, healthcare, education, and technology sectors. Sofina typically partners with other leading investors and provides not just capital but also strategic support leveraging their global network and experience.","1898 (Global), India operations established in 2015","WeWork Platina Tower, MG Road, Gurgaon - 122002, Haryana, India (India office)",contact@sofina.be,#ERROR!,https://www.sofina.be/,https://www.linkedin.com/company/sofina/,https://twitter.com/SofinaGroup,101,"Consumer, Healthcare, Education, Digital Transformation, Technology",$15-50 million (for India investments),$30-100 million,Typically co-invests with other established investors,"Feb 11, 2025 | The Whole Truth Foods | India | Stage -Series C | Amount invested - $15.2M",Sofina prefers introductions through their network or existing portfolio companies. They look for businesses with proven traction and strong fundamentals for long-term growth.,,,
SOFTBANK CORP,SoftBank Corp is a global technology conglomerate that invests in transformative businesses through its Vision Fund and other investment vehicles.,"SoftBank Corp, through SoftBank Investment Advisers, manages the SoftBank Vision Fund, one of the world's largest technology-focused investment funds. SoftBank has transformed the venture capital landscape with its massive investments in technology companies globally. The firm focuses on companies leveraging AI, data, and technological innovation to disrupt traditional industries. SoftBank's investment approach is characterized by large check sizes, aggressive growth strategies, and a long-term vision for transformative technologies. In India, SoftBank has been one of the most prolific late-stage investors, backing numerous unicorns across e-commerce, fintech, edtech, and mobility sectors.","1981 (SoftBank Corp), 2017 (Vision Fund)","WeWork, Embassy Golf Links, Bengaluru, Karnataka 560071 (India office)",india@softbank.com,Not publicly available for India office,"https://www.softbank.jp/en/ (Corp), https://thevisionfund.com/ (Vision Fund)",https://www.linkedin.com/company/softbank-group,https://twitter.com/softbank,300+ investments globally through various funds,"AI, Robotics, IoT, FinTech, Transportation & Logistics, Enterprise Tech, Consumer Internet, HealthTech",$100 million to $1 billion+,$200 million to $1.5 billion+,Strong preference for leading large rounds,Airtable (2024) - Work management platform (global investment),SoftBank typically engages with companies that have achieved significant scale and market leadership. Founders should demonstrate how their technology can transform industries at a global scale.,,,
SOONICORN VENTURES,"Soonicorn Ventures is an investment platform that enables investments in curated, pre-IPO, late-stage startups in India.","Soonicorn Ventures provides access to investment opportunities in late-stage startups (potential unicorns or ""soonicorns"") that were previously available only to institutional investors. The platform enables high-net-worth individuals, family offices, and smaller funds to participate in the growth stage of promising startups through a curated portfolio approach.",2021,"Koramangala, Bengaluru, Karnataka 560034, India",contact@soonicornventures.com,+91 80 4170 9235,https://www.soonicornventures.com,https://in.linkedin.com/company/soonicornventures,https://twitter.com/soonicornvc,95,"Fintech, E-commerce, SaaS, Logistics, Healthtech",$2-10 million (USD),$25-100 million (USD),Primarily co-investor,"Dec 23, 2024 | SustVest | India | Stage -Conventional Debt | Amount invested - Undisclosed",Soonicorn Ventures typically focuses on investing in later-stage companies rather than early-stage startups. They prefer companies that have achieved significant scale and are approaching IPO readiness.,,,
SORENSON CAPITAL,Sorenson Capital is a private equity and venture capital firm with a growing focus on investments in Indian technology and healthcare companies.,"Sorenson Capital is a middle-market private equity and venture capital firm that has expanded its investment focus to include promising companies in India. Originally founded in the United States, the firm has established a presence in India to capitalize on the country's rapidly growing technology and healthcare sectors. Sorenson Capital typically invests in growth-stage companies with proven business models and strong revenue trajectories. The firm provides both financial capital and operational expertise to help portfolio companies scale operations, enter new markets, and achieve sustainable growth. Sorenson takes a collaborative approach to working with management teams and often takes board positions in its portfolio companies to provide active guidance and support.",2002 (India operations established in 2017),HQ - California,info@sorensoncapital.com,NA,https://www.sorensoncapital.com,https://www.linkedin.com/company/sorenson-capital/,https://twitter.com/sorensoncap,"74 (Global), 9 (India-focused)","Analytics, ML, & AI,Application,Cybersecurity,DevTools & Computing Infrastructure (B2B Tech Focus) ",$10 million - $30 million,$20 million - $50 million,Prefers to lead growth and late-stage rounds,TechCloud Solutions (January 2024) - $18 million Series C,Founders of growth-stage companies with over $10 million in annual revenue can submit investment inquiries through the website or contact india.investments@sorensoncapital.com with a detailed business plan and financial projections.,,,
SORIN INVESTMENTS,"Sorin Investments is a venture capital firm focused on early-stage investments in technology startups across India, with emphasis on fintech, healthtech, and consumer tech sectors.","Sorin Investments is a venture capital firm that specializes in early-stage investments in technology startups across India. Founded by experienced entrepreneurs and investment professionals, the firm aims to identify and support promising startups with innovative solutions and significant growth potential. Sorin Investments focuses primarily on sectors including fintech, healthtech, consumer technology, and enterprise software. The firm adopts a hands-on approach with its portfolio companies, providing not only financial support but also strategic guidance, operational expertise, and access to its network of industry connections. Sorin Investments is committed to building long-term partnerships with entrepreneurs who are solving meaningful problems with technology-driven solutions.",2016,"301, Peninsula Chambers, Peninsula Corporate Park, Lower Parel West, Mumbai, Maharashtra 400013
",info@sorininvestments.com,NA ,https://www.sorininvestments.com,https://www.linkedin.com/company/sorin-investments,NA ,8,"fintech
health tech
D2C
ecommerce
b2b tech
saas
CLIMATE TECH",$1 million - $3 million,$2 million - $5 million,"Flexible, acts as both lead and co-investor depending on the opportunity","Jun 19, 2024 | The Pant Project | India | Stage -Series A | Amount invested - $4.25M","Founders can submit their pitch through the website submission form or email pitch@sorininvestments.com with a deck covering problem statement, solution, market size, business model, team credentials, traction metrics, and funding requirements.",,,
SOSV,"SOSV is a global venture capital firm providing multi-stage investment and accelerator support to develop and scale startups in climate tech, human and planetary health, and deep tech.","SOSV is a multi-stage global venture capital firm that operates specialized accelerator programs for startups across multiple verticals. The firm runs HAX (hardware and climate tech), IndieBio (life sciences), Orbit (cross-border internet), and dlab (blockchain) accelerators. SOSV typically invests at pre-seed through its accelerator programs and continues to support portfolio companies with follow-on funding through Series B. The firm has a strong focus on deep technology startups with the potential to address critical global challenges in climate, health, and food security.",1994,"No permanent India office, but operates in the region through partners and portfolio companies",info@sosv.com,+1 609 608 0821 (Global),https://www.sosv.com,https://www.linkedin.com/company/sosv/,https://twitter.com/SOSV,"1000+ investments globally, 25+ in India","Hardware, Climate Tech, Life Sciences, Biotech, Deep Tech, Consumer Internet","$150,000 - $500,000 (initial), $1-3 million (follow-on)","$500,000 - $5 million",Leads accelerator rounds and typically co-invests in follow-on rounds,"Galmesh (2024), sustainable materials technology startup in India","Founders should apply directly to the relevant accelerator program through SOSV's website. Each program has specific application criteria and timelines. SOSV looks for startups with strong technical founders, innovative IP, and solutions addressing significant global challenges.",,,
SOUTH PARK COMMONS,South Park Commons is a community and fund for technologists and founders with an expanding focus on the Indian startup ecosystem.,"South Park Commons (SPC) is a unique combination of a community and an investment fund for technologists and entrepreneurs. Founded by Ruchi Sanghvi, the first female engineer at Facebook, SPC began as a community in San Francisco but has expanded its focus to include India. The SPC Fund invests in early-stage startups emerging from its community and beyond. The organization provides a supportive environment where technologists and founders can explore ideas, receive mentorship, and access capital. With its increasing focus on India, SPC has been actively supporting Indian founders building globally relevant technology companies.","2015 (Community), 2018 (Fund)","NA (US-based with India focus, no dedicated India office)",info@southparkcommons.com,contact@southparkcommons.com,https://www.southparkcommons.com,https://www.linkedin.com/company/southparkcommons,https://twitter.com/southparkcommon,"60+ (globally), 8-10 (India-focused)","Enterprise Software, AI/ML, Deep Tech, Developer Tools, FinTech","$250,000 - $1 million",$1-3 million,Both lead and co-investor,Karbon Card (January 2025),"Founders can apply to join the SPC community through their website, which serves as the primary pathway to potential investment. The fund values technical depth and innovative approaches to significant problems.",,,
SPARROW CAPITAL,Sparrow Capital is a micro-VC firm focusing on pre-seed and seed investments in Indian technology startups.,"Sparrow Capital invests at the earliest stages of company building, often as the first institutional investor. The firm takes a hands-on approach, working closely with founders on product development, go-to-market strategy, and future fundraising. Their investment thesis focuses on backing exceptional founding teams in sectors undergoing digital transformation.",2019,"2150, 17th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008", NA,Contact form available on website,https://www.sparrowvc.com/,https://www.linkedin.com/company/sparrowcapvc/,https://x.com/sparrowcapvc,30+,"SaaS, Consumer Internet, Fintech, Edtech, Healthcare","$100,000 - $500,000 (USD)","$500,000 - $1.5 million (USD)","Primarily lead investor at pre-seed, co-investor at seed","Mar 24, 2025
Apna Mart
India
Series B
₹214Cr","Founders can apply through the website. Sparrow Capital looks for founding teams with domain expertise and a clear vision, preferably with an MVP and early user traction.",,,
"SPECIALE INVEST, BENGALURU",Speciale Invest is an early-stage venture capital firm focused on investing in deep technology startups in India.,"Speciale Invest is a seed-stage venture capital firm that invests in deep technology product companies. The firm focuses on startups building defensible intellectual property in areas such as enterprise software, SaaS, spacetech, robotics, automation, and AI/ML applications. Speciale Invest typically comes in as the first institutional investor in startups and works closely with founding teams to help build category-defining companies. The firm's partners bring operational experience and deep networks in the technology ecosystem to support portfolio companies.",2017,"The Grid, 8/14, Central Ave, Kesavaperumalpuram, Gandhi Nagar, Kesavaperumal puram, Chennai, Tamil Nadu 600028",info@specialeinvest.com,NA,https://www.specialeinvest.com/,https://in.linkedin.com/company/specialeinvest,https://twitter.com/SpecialeInvest,45+,"Deep Tech, Enterprise Software, SaaS, AI/ML, Robotics, Spacetech, Industrial Automation, Manufacturing Tech","$300,000 to $1 million","$500,000 to $2 million",Primarily lead investor at seed stage,"Dec 23, 2024 | Mindgrove | India | Stage -Series A | Amount invested - $8M",Founders can reach out directly via email at hello@speciale.vc or through their website's contact form. The firm looks for technical founders building breakthrough technologies with IP and defensibility.,,,
